partner,cover,room_count,pricing_zone,cover_monthly_price,cover_monthly_price_no_tax,cover_monthly_price_tax
demo,CATNAT,5,ZDDEF9C2-ZINCFACB-ZVOLFDCD,43.03603,39.48260,3.55343
demo,CATNAT,5,ZDDEF9C2-ZINCFACB-ZVOLFCCC,40.56275,37.21353,3.34922
demo,CATNAT,5,ZDDEF9C2-ZINCFACB-ZVOLFBCB,37.05156,33.99226,3.05930
demo,CATNAT,5,ZDDEF9C2-ZINCFACB-ZVOLFACA,34.65364,31.79233,2.86131
demo,CATNAT,5,ZDDEF9C2-ZINCFACA-ZVOLFDCD,42.37099,38.87247,3.49852
demo,CATNAT,5,ZDDEF9C2-ZINCFACA-ZVOLFCCC,39.89771,36.60340,3.29431
demo,CATNAT,5,ZDDEF9C2-ZINCFACA-ZVOLFBCB,36.38653,33.38213,3.00439
demo,CATNAT,5,ZDDEF9C2-ZINCFACA-ZVOLFACA,33.98860,31.18220,2.80640
demo,CATNAT,5,ZDDEF9C1-ZINCFBCC-ZVOLFDCD,39.91324,36.61765,3.29559
demo,CATNAT,5,ZDDEF9C1-ZINCFBCC-ZVOLFCCC,37.43996,34.34859,3.09137
demo,CATNAT,5,ZDDEF9C1-ZINCFBCC-ZVOLFBCB,33.92877,31.12732,2.80146
demo,CATNAT,5,ZDDEF9C1-ZINCFBCC-ZVOLFACA,31.53085,28.92738,2.60346
demo,CATNAT,5,ZDDEF9C1-ZINCFBCB-ZVOLFDCD,39.75130,36.46909,3.28222
demo,CATNAT,5,ZDDEF9C1-ZINCFBCB-ZVOLFCCC,37.27802,34.20002,3.07800
demo,CATNAT,5,ZDDEF9C1-ZINCFBCB-ZVOLFBCB,33.76684,30.97875,2.78809
demo,CATNAT,5,ZDDEF9C1-ZINCFBCB-ZVOLFACA,31.36891,28.77882,2.59009
demo,CATNAT,5,ZDDEF9C1-ZINCFBCA-ZVOLFDCD,39.16406,35.93033,3.23373
demo,CATNAT,5,ZDDEF9C1-ZINCFBCA-ZVOLFCCC,36.69077,33.66126,3.02951
demo,CATNAT,5,ZDDEF9C1-ZINCFBCA-ZVOLFBCB,33.17959,30.43999,2.73960
demo,CATNAT,5,ZDDEF9C1-ZINCFBCA-ZVOLFACA,30.78166,28.24006,2.54161
demo,CATNAT,5,ZDDEF9C1-ZINCFACC-ZVOLFDCD,40.81922,37.44883,3.37039
demo,CATNAT,5,ZDDEF9C1-ZINCFACC-ZVOLFCCC,38.34594,35.17976,3.16618
demo,CATNAT,5,ZDDEF9C1-ZINCFACC-ZVOLFBCB,34.83475,31.95849,2.87626
demo,CATNAT,5,ZDDEF9C1-ZINCFACC-ZVOLFACA,32.43683,29.75856,2.67827
demo,CATNAT,5,ZDDEF9C1-ZINCFACB-ZVOLFDCD,40.63583,37.28058,3.35525
demo,CATNAT,5,ZDDEF9C1-ZINCFACB-ZVOLFCCC,38.16255,35.01151,3.15104
demo,CATNAT,5,ZDDEF9C1-ZINCFACB-ZVOLFBCB,34.65136,31.79024,2.86112
demo,CATNAT,5,ZDDEF9C1-ZINCFACB-ZVOLFACA,32.25344,29.59031,2.66313
demo,CATNAT,5,ZDDEF9C1-ZINCFACA-ZVOLFDCD,39.97079,36.67045,3.30034
demo,CATNAT,5,ZDDEF9C1-ZINCFACA-ZVOLFCCC,37.49751,34.40139,3.09612
demo,CATNAT,5,ZDDEF9C1-ZINCFACA-ZVOLFBCB,33.98633,31.18012,2.80621
demo,CATNAT,5,ZDDEF9C1-ZINCFACA-ZVOLFACA,31.58840,28.98018,2.60822
demo,CATNAT,5,ZDDEF8C3-ZINCFBCC-ZVOLFDCD,42.95874,39.41169,3.54705
demo,CATNAT,5,ZDDEF8C3-ZINCFBCC-ZVOLFCCC,40.48546,37.14262,3.34284
demo,CATNAT,5,ZDDEF8C3-ZINCFBCC-ZVOLFBCB,36.97427,33.92135,3.05292
demo,CATNAT,5,ZDDEF8C3-ZINCFBCC-ZVOLFACA,34.57635,31.72142,2.85493
demo,CATNAT,5,ZDDEF8C3-ZINCFBCB-ZVOLFDCD,42.79680,39.26312,3.53368
demo,CATNAT,5,ZDDEF8C3-ZINCFBCB-ZVOLFCCC,40.32352,36.99405,3.32946
demo,CATNAT,5,ZDDEF8C3-ZINCFBCB-ZVOLFBCB,36.81233,33.77278,3.03955
demo,CATNAT,5,ZDDEF8C3-ZINCFBCB-ZVOLFACA,34.41441,31.57285,2.84156
demo,CATNAT,5,ZDDEF8C3-ZINCFBCA-ZVOLFDCD,42.20955,38.72436,3.48519
demo,CATNAT,5,ZDDEF8C3-ZINCFBCA-ZVOLFCCC,39.73627,36.45529,3.28098
demo,CATNAT,5,ZDDEF8C3-ZINCFBCA-ZVOLFBCB,36.22509,33.23402,2.99106
demo,CATNAT,5,ZDDEF8C3-ZINCFBCA-ZVOLFACA,33.82716,31.03409,2.79307
demo,CATNAT,5,ZDDEF8C3-ZINCFACC-ZVOLFDCD,43.86472,40.24286,3.62186
demo,CATNAT,5,ZDDEF8C3-ZINCFACC-ZVOLFCCC,41.39144,37.97379,3.41764
demo,CATNAT,5,ZDDEF8C3-ZINCFACC-ZVOLFBCB,37.88025,34.75252,3.12773
demo,CATNAT,5,ZDDEF8C3-ZINCFACC-ZVOLFACA,35.48232,32.55259,2.92973
demo,CATNAT,5,ZDDEF8C3-ZINCFACB-ZVOLFDCD,43.68133,40.07461,3.60672
demo,CATNAT,5,ZDDEF8C3-ZINCFACB-ZVOLFCCC,41.20805,37.80555,3.40250
demo,CATNAT,5,ZDDEF8C3-ZINCFACB-ZVOLFBCB,37.69686,34.58428,3.11258
demo,CATNAT,5,ZDDEF8C3-ZINCFACB-ZVOLFACA,35.29893,32.38434,2.91459
demo,CATNAT,5,ZDDEF8C3-ZINCFACA-ZVOLFDCD,43.01629,39.46449,3.55180
demo,CATNAT,5,ZDDEF8C3-ZINCFACA-ZVOLFCCC,40.54301,37.19542,3.34759
demo,CATNAT,5,ZDDEF8C3-ZINCFACA-ZVOLFBCB,37.03182,33.97415,3.05767
demo,CATNAT,5,ZDDEF8C3-ZINCFACA-ZVOLFACA,34.63390,31.77422,2.85968
demo,CATNAT,5,ZDDEF8C2-ZINCFBCC-ZVOLFDCD,41.18169,37.78137,3.40032
demo,CATNAT,5,ZDDEF8C2-ZINCFBCC-ZVOLFCCC,38.70841,35.51230,3.19611
demo,CATNAT,5,ZDDEF8C2-ZINCFBCC-ZVOLFBCB,35.19722,32.29103,2.90619
demo,CATNAT,5,ZDDEF8C2-ZINCFBCC-ZVOLFACA,32.79929,30.09110,2.70820
demo,CATNAT,5,ZDDEF8C2-ZINCFBCB-ZVOLFDCD,41.01975,37.63280,3.38695
demo,CATNAT,5,ZDDEF8C2-ZINCFBCB-ZVOLFCCC,38.54647,35.36373,3.18274
demo,CATNAT,5,ZDDEF8C2-ZINCFBCB-ZVOLFBCB,35.03528,32.14246,2.89282
demo,CATNAT,5,ZDDEF8C2-ZINCFBCB-ZVOLFACA,32.63736,29.94253,2.69483
demo,CATNAT,5,ZDDEF8C2-ZINCFBCA-ZVOLFDCD,40.43250,37.09404,3.33846
demo,CATNAT,5,ZDDEF8C2-ZINCFBCA-ZVOLFCCC,37.95922,34.82497,3.13425
demo,CATNAT,5,ZDDEF8C2-ZINCFBCA-ZVOLFBCB,34.44803,31.60370,2.84433
demo,CATNAT,5,ZDDEF8C2-ZINCFBCA-ZVOLFACA,32.05011,29.40377,2.64634
demo,CATNAT,5,ZDDEF8C2-ZINCFACC-ZVOLFDCD,42.08767,38.61254,3.47513
demo,CATNAT,5,ZDDEF8C2-ZINCFACC-ZVOLFCCC,39.61438,36.34347,3.27091
demo,CATNAT,5,ZDDEF8C2-ZINCFACC-ZVOLFBCB,36.10320,33.12220,2.98100
demo,CATNAT,5,ZDDEF8C2-ZINCFACC-ZVOLFACA,33.70527,30.92227,2.78300
demo,CATNAT,5,ZDDEF8C2-ZINCFACB-ZVOLFDCD,41.90428,38.44429,3.45999
demo,CATNAT,5,ZDDEF8C2-ZINCFACB-ZVOLFCCC,39.43099,36.17522,3.25577
demo,CATNAT,5,ZDDEF8C2-ZINCFACB-ZVOLFBCB,35.91981,32.95395,2.96586
demo,CATNAT,5,ZDDEF8C2-ZINCFACB-ZVOLFACA,33.52188,30.75402,2.76786
demo,CATNAT,5,ZDDEF8C2-ZINCFACA-ZVOLFDCD,41.23924,37.83416,3.40507
demo,CATNAT,5,ZDDEF8C2-ZINCFACA-ZVOLFCCC,38.76596,35.56510,3.20086
demo,CATNAT,5,ZDDEF8C2-ZINCFACA-ZVOLFBCB,35.25477,32.34383,2.91094
demo,CATNAT,5,ZDDEF8C2-ZINCFACA-ZVOLFACA,32.85685,30.14389,2.71295
demo,CATNAT,5,ZDDEF8C1-ZINCFBCC-ZVOLFDCD,38.90069,35.68871,3.21198
demo,CATNAT,5,ZDDEF8C1-ZINCFBCC-ZVOLFCCC,36.42741,33.41964,3.00777
demo,CATNAT,5,ZDDEF8C1-ZINCFBCC-ZVOLFBCB,32.91622,30.19837,2.71785
demo,CATNAT,5,ZDDEF8C1-ZINCFBCC-ZVOLFACA,30.51829,27.99844,2.51986
demo,CATNAT,5,ZDDEF8C1-ZINCFBCB-ZVOLFDCD,38.73875,35.54014,3.19861
demo,CATNAT,5,ZDDEF8C1-ZINCFBCB-ZVOLFCCC,36.26547,33.27107,2.99440
demo,CATNAT,5,ZDDEF8C1-ZINCFBCB-ZVOLFBCB,32.75428,30.04980,2.70448
demo,CATNAT,5,ZDDEF8C1-ZINCFBCB-ZVOLFACA,30.35636,27.84987,2.50649
demo,CATNAT,5,ZDDEF8C1-ZINCFBCA-ZVOLFDCD,38.15150,35.00138,3.15012
demo,CATNAT,5,ZDDEF8C1-ZINCFBCA-ZVOLFCCC,35.67822,32.73231,2.94591
demo,CATNAT,5,ZDDEF8C1-ZINCFBCA-ZVOLFBCB,32.16703,29.51104,2.65599
demo,CATNAT,5,ZDDEF8C1-ZINCFBCA-ZVOLFACA,29.76911,27.31111,2.45800
demo,CATNAT,5,ZDDEF8C1-ZINCFACC-ZVOLFDCD,39.80667,36.51988,3.28679
demo,CATNAT,5,ZDDEF8C1-ZINCFACC-ZVOLFCCC,37.33339,34.25081,3.08257
demo,CATNAT,5,ZDDEF8C1-ZINCFACC-ZVOLFBCB,33.82220,31.02954,2.79266
demo,CATNAT,5,ZDDEF8C1-ZINCFACC-ZVOLFACA,31.42427,28.82961,2.59466
demo,CATNAT,5,ZDDEF8C1-ZINCFACB-ZVOLFDCD,39.62328,36.35163,3.27165
demo,CATNAT,5,ZDDEF8C1-ZINCFACB-ZVOLFCCC,37.14999,34.08256,3.06743
demo,CATNAT,5,ZDDEF8C1-ZINCFACB-ZVOLFBCB,33.63881,30.86129,2.77752
demo,CATNAT,5,ZDDEF8C1-ZINCFACB-ZVOLFACA,31.24088,28.66136,2.57952
demo,CATNAT,5,ZDDEF8C1-ZINCFACA-ZVOLFDCD,38.95824,35.74150,3.21674
demo,CATNAT,5,ZDDEF8C1-ZINCFACA-ZVOLFCCC,36.48496,33.47244,3.01252
demo,CATNAT,5,ZDDEF8C1-ZINCFACA-ZVOLFBCB,32.97377,30.25117,2.72261
demo,CATNAT,5,ZDDEF8C1-ZINCFACA-ZVOLFACA,30.57585,28.05123,2.52461
demo,CATNAT,5,ZDDEF7C3-ZINCFBCC-ZVOLFDCD,39.90263,36.60792,3.29471
demo,CATNAT,5,ZDDEF7C3-ZINCFBCC-ZVOLFCCC,37.42935,34.33885,3.09050
demo,CATNAT,5,ZDDEF7C3-ZINCFBCC-ZVOLFBCB,33.91816,31.11758,2.80058
demo,CATNAT,5,ZDDEF7C3-ZINCFBCC-ZVOLFACA,31.52023,28.91765,2.60259
demo,CATNAT,5,ZDDEF7C3-ZINCFBCB-ZVOLFDCD,39.74069,36.45935,3.28134
demo,CATNAT,5,ZDDEF7C3-ZINCFBCB-ZVOLFCCC,37.26741,34.19028,3.07713
demo,CATNAT,5,ZDDEF7C3-ZINCFBCB-ZVOLFBCB,33.75622,30.96901,2.78721
demo,CATNAT,5,ZDDEF7C3-ZINCFBCB-ZVOLFACA,31.35829,28.76908,2.58922
demo,CATNAT,5,ZDDEF7C3-ZINCFBCA-ZVOLFDCD,39.15344,35.92059,3.23285
demo,CATNAT,5,ZDDEF7C3-ZINCFBCA-ZVOLFCCC,36.68016,33.65152,3.02864
demo,CATNAT,5,ZDDEF7C3-ZINCFBCA-ZVOLFBCB,33.16897,30.43025,2.73872
demo,CATNAT,5,ZDDEF7C3-ZINCFBCA-ZVOLFACA,30.77105,28.23032,2.54073
demo,CATNAT,5,ZDDEF7C3-ZINCFACC-ZVOLFDCD,40.80861,37.43909,3.36952
demo,CATNAT,5,ZDDEF7C3-ZINCFACC-ZVOLFCCC,38.33532,35.17002,3.16530
demo,CATNAT,5,ZDDEF7C3-ZINCFACC-ZVOLFBCB,34.82414,31.94875,2.87539
demo,CATNAT,5,ZDDEF7C3-ZINCFACC-ZVOLFACA,32.42621,29.74882,2.67739
demo,CATNAT,5,ZDDEF7C3-ZINCFACB-ZVOLFDCD,40.62522,37.27084,3.35438
demo,CATNAT,5,ZDDEF7C3-ZINCFACB-ZVOLFCCC,38.15193,35.00177,3.15016
demo,CATNAT,5,ZDDEF7C3-ZINCFACB-ZVOLFBCB,34.64075,31.78050,2.86025
demo,CATNAT,5,ZDDEF7C3-ZINCFACB-ZVOLFACA,32.24282,29.58057,2.66225
demo,CATNAT,5,ZDDEF7C3-ZINCFACA-ZVOLFDCD,39.96018,36.66071,3.29946
demo,CATNAT,5,ZDDEF7C3-ZINCFACA-ZVOLFCCC,37.48690,34.39165,3.09525
demo,CATNAT,5,ZDDEF7C3-ZINCFACA-ZVOLFBCB,33.97571,31.17038,2.80533
demo,CATNAT,5,ZDDEF7C3-ZINCFACA-ZVOLFACA,31.57778,28.97044,2.60734
demo,CATNAT,5,ZDDEF7C2-ZINCFBCC-ZVOLFDCD,38.35733,35.19021,3.16712
demo,CATNAT,5,ZDDEF7C2-ZINCFBCC-ZVOLFCCC,35.88405,32.92114,2.96290
demo,CATNAT,5,ZDDEF7C2-ZINCFBCC-ZVOLFBCB,32.37286,29.69987,2.67299
demo,CATNAT,5,ZDDEF7C2-ZINCFBCC-ZVOLFACA,29.97493,27.49994,2.47499
demo,CATNAT,5,ZDDEF7C2-ZINCFBCB-ZVOLFDCD,38.19539,35.04164,3.15375
demo,CATNAT,5,ZDDEF7C2-ZINCFBCB-ZVOLFCCC,35.72211,32.77257,2.94953
demo,CATNAT,5,ZDDEF7C2-ZINCFBCB-ZVOLFBCB,32.21092,29.55130,2.65962
demo,CATNAT,5,ZDDEF7C2-ZINCFBCB-ZVOLFACA,29.81299,27.35137,2.46162
demo,CATNAT,5,ZDDEF7C2-ZINCFBCA-ZVOLFDCD,37.60814,34.50288,3.10526
demo,CATNAT,5,ZDDEF7C2-ZINCFBCA-ZVOLFCCC,35.13486,32.23382,2.90104
demo,CATNAT,5,ZDDEF7C2-ZINCFBCA-ZVOLFBCB,31.62367,29.01255,2.61113
demo,CATNAT,5,ZDDEF7C2-ZINCFBCA-ZVOLFACA,29.22575,26.81261,2.41314
demo,CATNAT,5,ZDDEF7C2-ZINCFACC-ZVOLFDCD,39.26331,36.02138,3.24192
demo,CATNAT,5,ZDDEF7C2-ZINCFACC-ZVOLFCCC,36.79002,33.75232,3.03771
demo,CATNAT,5,ZDDEF7C2-ZINCFACC-ZVOLFBCB,33.27884,30.53105,2.74779
demo,CATNAT,5,ZDDEF7C2-ZINCFACC-ZVOLFACA,30.88091,28.33111,2.54980
demo,CATNAT,5,ZDDEF7C2-ZINCFACB-ZVOLFDCD,39.07992,35.85313,3.22678
demo,CATNAT,5,ZDDEF7C2-ZINCFACB-ZVOLFCCC,36.60663,33.58407,3.02257
demo,CATNAT,5,ZDDEF7C2-ZINCFACB-ZVOLFBCB,33.09545,30.36280,2.73265
demo,CATNAT,5,ZDDEF7C2-ZINCFACB-ZVOLFACA,30.69752,28.16286,2.53466
demo,CATNAT,5,ZDDEF7C2-ZINCFACA-ZVOLFDCD,38.41488,35.24301,3.17187
demo,CATNAT,5,ZDDEF7C2-ZINCFACA-ZVOLFCCC,35.94160,32.97394,2.96765
demo,CATNAT,5,ZDDEF7C2-ZINCFACA-ZVOLFBCB,32.43041,29.75267,2.67774
demo,CATNAT,5,ZDDEF7C2-ZINCFACA-ZVOLFACA,30.03248,27.55274,2.47975
demo,CATNAT,5,ZDDEF7C1-ZINCFBCC-ZVOLFDCD,36.37380,33.37046,3.00334
demo,CATNAT,5,ZDDEF7C1-ZINCFBCC-ZVOLFCCC,33.90052,31.10139,2.79913
demo,CATNAT,5,ZDDEF7C1-ZINCFBCC-ZVOLFBCB,30.38933,27.88012,2.50921
demo,CATNAT,5,ZDDEF7C1-ZINCFBCC-ZVOLFACA,27.99141,25.68019,2.31122
demo,CATNAT,5,ZDDEF7C1-ZINCFBCB-ZVOLFDCD,36.21186,33.22189,2.98997
demo,CATNAT,5,ZDDEF7C1-ZINCFBCB-ZVOLFCCC,33.73858,30.95283,2.78575
demo,CATNAT,5,ZDDEF7C1-ZINCFBCB-ZVOLFBCB,30.22740,27.73156,2.49584
demo,CATNAT,5,ZDDEF7C1-ZINCFBCB-ZVOLFACA,27.82947,25.53162,2.29785
demo,CATNAT,5,ZDDEF7C1-ZINCFBCA-ZVOLFDCD,35.62461,32.68313,2.94148
demo,CATNAT,5,ZDDEF7C1-ZINCFBCA-ZVOLFCCC,33.15133,30.41407,2.73727
demo,CATNAT,5,ZDDEF7C1-ZINCFBCA-ZVOLFBCB,29.64015,27.19280,2.44735
demo,CATNAT,5,ZDDEF7C1-ZINCFBCA-ZVOLFACA,27.24222,24.99286,2.24936
demo,CATNAT,5,ZDDEF7C1-ZINCFACC-ZVOLFDCD,37.27978,34.20163,3.07815
demo,CATNAT,5,ZDDEF7C1-ZINCFACC-ZVOLFCCC,34.80650,31.93257,2.87393
demo,CATNAT,5,ZDDEF7C1-ZINCFACC-ZVOLFBCB,31.29531,28.71130,2.58402
demo,CATNAT,5,ZDDEF7C1-ZINCFACC-ZVOLFACA,28.89739,26.51136,2.38602
demo,CATNAT,5,ZDDEF7C1-ZINCFACB-ZVOLFDCD,37.09639,34.03339,3.06300
demo,CATNAT,5,ZDDEF7C1-ZINCFACB-ZVOLFCCC,34.62311,31.76432,2.85879
demo,CATNAT,5,ZDDEF7C1-ZINCFACB-ZVOLFBCB,31.11192,28.54305,2.56887
demo,CATNAT,5,ZDDEF7C1-ZINCFACB-ZVOLFACA,28.71400,26.34312,2.37088
demo,CATNAT,5,ZDDEF7C1-ZINCFACA-ZVOLFDCD,36.43135,33.42326,3.00809
demo,CATNAT,5,ZDDEF7C1-ZINCFACA-ZVOLFCCC,33.95807,31.15419,2.80388
demo,CATNAT,5,ZDDEF7C1-ZINCFACA-ZVOLFBCB,30.44689,27.93292,2.51396
demo,CATNAT,5,ZDDEF7C1-ZINCFACA-ZVOLFACA,28.04896,25.73299,2.31597
demo,CATNAT,5,ZDDEF6C3-ZINCFBCC-ZVOLFDCD,38.95489,35.73843,3.21646
demo,CATNAT,5,ZDDEF6C3-ZINCFBCC-ZVOLFCCC,36.48161,33.46937,3.01224
demo,CATNAT,5,ZDDEF6C3-ZINCFBCC-ZVOLFBCB,32.97042,30.24810,2.72233
demo,CATNAT,5,ZDDEF6C3-ZINCFBCC-ZVOLFACA,30.57250,28.04816,2.52433
demo,CATNAT,5,ZDDEF6C3-ZINCFBCB-ZVOLFDCD,38.79295,35.58986,3.20309
demo,CATNAT,5,ZDDEF6C3-ZINCFBCB-ZVOLFCCC,36.31967,33.32080,2.99887
demo,CATNAT,5,ZDDEF6C3-ZINCFBCB-ZVOLFBCB,32.80848,30.09953,2.70896
demo,CATNAT,5,ZDDEF6C3-ZINCFBCB-ZVOLFACA,30.41056,27.89959,2.51096
demo,CATNAT,5,ZDDEF6C3-ZINCFBCA-ZVOLFDCD,38.20570,35.05110,3.15460
demo,CATNAT,5,ZDDEF6C3-ZINCFBCA-ZVOLFCCC,35.73242,32.78204,2.95038
demo,CATNAT,5,ZDDEF6C3-ZINCFBCA-ZVOLFBCB,32.22124,29.56077,2.66047
demo,CATNAT,5,ZDDEF6C3-ZINCFBCA-ZVOLFACA,29.82331,27.36083,2.46248
demo,CATNAT,5,ZDDEF6C3-ZINCFACC-ZVOLFDCD,39.86087,36.56961,3.29126
demo,CATNAT,5,ZDDEF6C3-ZINCFACC-ZVOLFCCC,37.38759,34.30054,3.08705
demo,CATNAT,5,ZDDEF6C3-ZINCFACC-ZVOLFBCB,33.87640,31.07927,2.79713
demo,CATNAT,5,ZDDEF6C3-ZINCFACC-ZVOLFACA,31.47848,28.87934,2.59914
demo,CATNAT,5,ZDDEF6C3-ZINCFACB-ZVOLFDCD,39.67748,36.40136,3.27612
demo,CATNAT,5,ZDDEF6C3-ZINCFACB-ZVOLFCCC,37.20420,34.13229,3.07191
demo,CATNAT,5,ZDDEF6C3-ZINCFACB-ZVOLFBCB,33.69301,30.91102,2.78199
demo,CATNAT,5,ZDDEF6C3-ZINCFACB-ZVOLFACA,31.29509,28.71109,2.58400
demo,CATNAT,5,ZDDEF6C3-ZINCFACA-ZVOLFDCD,39.01244,35.79123,3.22121
demo,CATNAT,5,ZDDEF6C3-ZINCFACA-ZVOLFCCC,36.53916,33.52216,3.01699
demo,CATNAT,5,ZDDEF6C3-ZINCFACA-ZVOLFBCB,33.02797,30.30089,2.72708
